timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
105431109,0.0,0.0,0.0,0.0
105634290,0.0,0.0,0.0,0.0
105837477,0.0,0.0,0.0,0.0
106040705,0.0,0.0,0.0,0.0
106243073,0.0,0.0,0.0,0.0
106443881,0.0,0.0,0.0,0.0
106645517,0.0,0.0,0.0,0.0
106848711,0.0,0.0,0.0,0.0
107049482,0.0,0.0,0.0,0.0
107250273,0.0,0.0,0.0,0.0
107454321,0.0,0.0,0.0,0.0
107658274,0.0,0.0,0.0,0.0
107861507,0.0,0.0,0.0,0.0
108063088,0.0,0.0,0.0,0.0
108267093,0.0,0.0,0.0,0.0
108470319,0.0,0.0,0.0,0.0
108671896,0.0,0.0,0.0,0.0
108876847,0.0,0.0,0.0,0.0
109078283,0.0,0.0,0.0,0.0
109281487,0.0,0.0,0.0,0.0
109485518,0.0,0.0,0.0,0.0
109687115,0.0,0.0,0.0,0.0
109890270,0.0,0.0,0.0,0.0
110093651,0.0,0.0,0.0,0.0
110294289,0.0,0.0,0.0,0.0
110494285,0.0,0.0,0.0,0.0
110695084,0.0,0.0,0.0,0.0
110898273,0.0,0.0,0.0,0.0
111103877,0.0,0.0,0.0,0.0
111305538,0.0,0.0,0.0,0.0
111504698,0.0,0.0,0.0,0.0
111707880,0.0,0.0,0.0,0.0
111908663,0.0,0.0,0.0,0.0
112113478,0.0,0.0,0.0,0.0
112315889,0.0,0.0,0.0,0.0
112519102,0.0,0.0,0.0,0.0
112721522,0.0,0.0,0.0,0.0
112924681,0.0,0.0,0.0,0.0
113125519,0.0,0.0,0.0,0.0
113327084,0.0,0.0,0.0,0.0
113531078,0.0,0.0,0.0,0.0
113731877,0.0,0.0,0.0,0.0
113932042,0.0,0.0,0.0,0.0
114135883,0.0,0.0,0.0,0.0
114340718,0.0,0.0,0.0,0.0
114540673,0.0,0.0,0.0,0.0
114744664,0.0,0.0,0.0,0.0
114948689,0.0,0.0,0.0,0.0
115151879,0.0,0.0,0.0,0.0
115353480,0.0,0.0,0.0,0.0
115557491,0.0,0.0,0.0,0.0
115757475,0.0,0.0,0.0,0.0
115959131,0.0,0.0,0.0,0.0
116162287,0.0,0.0,0.0,0.0
116367079,0.0,0.0,0.0,0.0
116567904,0.0,0.0,0.0,0.0
116767864,0.0,0.0,0.0,0.0
116971107,0.0,0.0,0.0,0.0
117172846,0.0,0.0,0.0,0.0
117376681,0.0,0.0,0.0,0.0
117579878,0.0,0.0,0.0,0.0
117779880,0.0,0.0,0.0,0.0
117981495,0.0,0.0,0.0,0.0
118186275,0.0,0.0,0.0,0.0
118386273,0.0,0.0,0.0,0.0
118587108,0.0,0.0,0.0,0.0
118791090,0.0,0.0,0.0,0.0
118994295,0.0,0.0,0.0,0.0
119196684,0.0,0.0,0.0,0.0
119399878,0.0,0.0,0.0,0.0
119599876,0.0,0.0,0.0,0.0
119802277,0.0,0.0,0.0,0.0
120004720,0.0,0.0,0.0,0.0
120205520,0.0,0.0,0.0,0.0
120405514,0.0,0.0,0.0,0.0
120607099,0.0,0.0,0.0,0.0
120809492,0.0,0.0,0.0,0.0
121014282,0.0,0.0,0.0,0.0
121216689,0.0,0.0,0.0,0.0
121419123,0.0,0.0,0.0,0.0
121622273,0.0,0.0,0.0,0.0
121822271,0.0,0.0,0.0,0.0
122023890,0.0,0.0,0.0,0.0
122223877,0.0,0.0,0.0,0.0
122427085,0.0,0.0,0.0,0.0
122631081,0.0,0.0,0.0,0.0
122832684,0.0,0.0,0.0,0.0
123032834,0.0,0.0,0.0,0.0
123233465,0.0,0.0,0.0,0.0
123435094,0.0,0.0,0.0,0.0
123637647,0.0,0.0,0.0,0.0
123841476,0.0,0.0,0.0,0.0
124042279,0.0,0.0,0.0,0.0
124242328,0.0,0.0,0.0,0.0
124443084,0.0,0.0,0.0,0.0
124646278,0.0,0.0,0.0,0.0
124846272,0.0,0.0,0.0,0.0
125047886,0.0,0.0,0.0,0.0
125251865,0.0,0.0,0.0,0.0
125452676,0.0,0.0,0.0,0.0
125654285,0.0,0.0,0.0,0.0
125856685,0.0,0.0,0.0,0.0
126061489,0.0,0.0,0.0,0.0
126263091,0.0,0.0,0.0,0.0
126466284,0.0,0.0,0.0,0.0
126666272,0.0,0.0,0.0,0.0
126866332,0.0,0.0,0.0,0.0
127068693,0.0,0.0,0.0,0.0
127272683,0.0,0.0,0.0,0.0
127475099,0.0,0.0,0.0,0.0
127677463,0.0,0.0,0.0,0.0
127879865,0.0,0.0,0.0,0.0
128081481,0.0,0.0,0.0,0.0
128283135,0.0,0.0,0.0,0.0
128484679,0.0,0.0,0.0,0.0
128689464,0.0,0.0,0.0,0.0
128889483,0.0,0.0,0.0,0.0
129091091,0.0,0.0,0.0,0.0
129292033,0.0,0.0,0.0,0.0
129493510,0.0,0.0,0.0,0.0
129696664,0.0,0.0,0.0,0.0
129899087,0.0,0.0,0.0,0.0
130099102,0.0,0.0,0.0,0.0
130302309,0.0,0.0,0.0,0.0
130505523,0.0,0.0,0.0,0.0
130707865,0.0,0.0,0.0,0.0
130911911,0.0,0.0,0.0,0.0
131111921,0.0,0.0,0.0,0.0
131312696,0.0,0.0,0.0,0.0
131516728,0.0,0.0,0.0,0.0
131719864,0.0,0.0,0.0,0.0
131923139,0.0,0.0,0.0,0.0
132125509,0.0,0.0,0.0,0.0
132326292,0.0,0.0,0.0,0.0
132528695,0.0,0.0,0.0,0.0
132731085,0.0,0.0,0.0,0.0
132935087,0.0,0.0,0.0,0.0
133137477,0.0,0.0,0.0,0.0
133339864,0.0,0.0,0.0,0.0
133543880,0.0,0.0,0.0,0.0
133744671,0.0,0.0,0.0,0.0
133944679,0.0,0.0,0.0,0.0
134148884,0.0,0.0,0.0,0.0
134351879,0.0,0.0,0.0,0.0
134552695,0.0,0.0,0.0,0.0
134753476,0.0,0.0,0.0,0.0
134957504,0.0,0.0,0.0,0.0
135162327,0.0,0.0,0.0,0.0
135363087,0.0,0.0,0.0,0.0
135566278,0.0,0.0,0.0,0.0
135766276,0.0,0.0,0.0,0.0
135966276,0.0,0.0,0.0,0.0
136167864,0.0,0.0,0.0,0.0
136371918,0.0,0.0,0.0,0.0
136575084,0.0,0.0,0.0,0.0
136776689,0.0,0.0,0.0,0.0
136981504,0.0,0.0,0.0,0.0
137181529,0.0,0.0,0.0,0.0
137384665,0.0,0.0,0.0,0.0
137585480,0.0,0.0,0.0,0.0
137789498,0.0,0.0,0.0,0.0
137992678,0.0,0.0,0.0,0.0
138195085,0.0,0.0,0.0,0.0
138399094,0.0,0.0,0.0,0.0
138599921,0.0,0.0,0.0,0.0
138799892,0.0,0.0,0.0,0.0
139003077,0.0,0.0,0.0,0.0
139203878,0.0,0.0,0.0,0.0
139404676,0.0,0.0,0.0,0.0
139608723,0.0,0.0,0.0,0.0
139809483,0.0,0.0,0.0,0.0
140011083,0.0,0.0,0.0,0.0
140213485,0.0,0.0,0.0,0.0
140420722,0.0,0.0,0.0,0.0
140623871,0.0,0.0,0.0,0.0
140827099,0.0,0.0,0.0,0.0
141027080,0.0,0.0,0.0,0.0
141229485,0.0,0.0,0.0,0.0
141431901,0.0,0.0,0.0,0.0
141635876,0.0,0.0,0.0,0.0
141835893,0.0,0.0,0.0,0.0
142036703,0.0,0.0,0.0,0.0
142236688,0.0,0.0,0.0,0.0
142440693,0.0,0.0,0.0,0.0
142644677,0.0,0.0,0.0,0.0
142845642,0.0,0.0,0.0,0.0
143049484,0.0,0.0,0.0,0.0
143254299,0.0,0.0,0.0,0.0
143454300,0.0,0.0,0.0,0.0
143654442,0.0,0.0,0.0,0.0
143855091,0.0,0.0,0.0,0.0
144057478,0.0,0.0,0.0,0.0
144259880,0.0,0.0,0.0,0.0
144463877,0.0,0.0,0.0,0.0
144663893,0.0,0.0,0.0,0.0
144864665,0.0,0.0,0.0,0.0
145068873,0.0,0.0,0.0,0.0
145272680,0.0,0.0,0.0,0.0
145475865,0.0,0.0,0.0,0.0
145677464,0.0,0.0,0.0,0.0
