timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
86470800,0,1200.0,0.402909,0.033972956,0.34172797,0.0,0,0,0,0,1,0,0,1,0,1,34
86992157,86985678,800000.0,1.0,0.046938557,23.717953,0.0,255,0,6,4,4,5,0,0,1,1,45
87477817,0,1200.0,0.402909,0.033920456,0.5247694,0.0,0,0,0,0,1,0,0,1,0,1,34
87987238,87985835,800000.0,1.0,0.04694076,23.545286,0.0,255,0,6,4,4,5,0,0,1,1,45
88482669,0,1200.0,0.402909,0.033696294,0.33101654,0.0,0,0,0,0,1,0,0,1,0,1,34
88988924,87985835,800000.0,1.0,0.046968434,23.607134,0.0,255,0,6,4,4,5,0,0,1,1,45
88993195,88992267,800000.0,1.0,0.046968434,23.607134,0.0,255,0,6,4,4,5,0,0,1,1,45
89492339,0,1200.0,0.402909,0.03399915,0.33399165,0.0,0,0,0,0,1,0,0,1,0,1,34
89986857,89986492,800000.0,1.0,0.04696623,23.55806,0.0,255,0,6,4,4,5,0,0,1,1,45
90500352,0,1200.0,0.402909,0.033724204,0.25888285,0.0,0,0,0,0,1,0,0,1,0,1,34
90988324,89986492,800000.0,1.0,0.046823476,23.677734,0.0,255,0,6,4,4,5,0,0,1,1,45
90992130,90989971,800000.0,1.0,0.046823476,23.677734,0.0,255,0,6,4,4,5,0,0,1,1,45
91502781,0,1200.0,0.402909,0.03392039,0.52476835,0.0,0,0,0,0,1,0,0,1,0,1,34
91991319,91987537,800000.0,1.0,0.04695431,23.552084,0.0,255,0,6,4,4,5,0,0,1,1,45
92508428,0,1200.0,0.402909,0.033883978,0.33286026,0.0,0,0,0,0,1,0,0,1,0,1,34
92990709,92986481,800000.0,1.0,0.046748023,23.579903,0.0,255,0,6,4,4,5,0,0,1,1,45
93516290,0,1200.0,0.402909,0.03397601,0.63155407,0.0,0,0,0,0,1,0,0,1,0,1,34
93991975,92986481,800000.0,1.0,0.04680468,23.47703,0.0,255,0,6,4,4,5,0,0,1,1,45
94001853,93999658,800000.0,1.0,0.04680468,23.47703,0.0,255,0,6,4,4,5,0,0,1,1,45
94524482,0,1200.0,0.402909,0.033859044,0.3545241,0.0,0,0,0,0,1,0,0,1,0,1,34
94997306,94995697,800000.0,1.0,0.04689046,23.92112,0.0,255,0,6,4,4,5,0,0,1,1,45
95530798,0,1200.0,0.402909,0.0337606,0.40413424,0.0,0,0,0,0,1,0,0,1,0,1,34
95997888,94995697,800000.0,1.0,0.046899866,23.524773,0.0,255,0,6,4,4,5,0,0,1,1,45
96006748,96005812,800000.0,1.0,0.046899866,23.524773,0.0,255,0,6,4,4,5,0,0,1,1,45
96539368,0,1200.0,0.402909,0.03370154,0.37666425,0.0,0,0,0,0,1,0,0,1,0,1,34
96992459,96991420,800000.0,1.0,0.04698642,23.616173,0.0,255,0,6,4,4,5,0,0,1,1,45
97544644,0,1200.0,0.402909,0.033763286,0.3316746,0.0,0,0,0,0,1,0,0,1,0,1,34
97992512,96991420,800000.0,1.0,0.046917096,23.533415,0.0,255,0,6,4,4,5,0,0,1,1,45
97998562,97993698,800000.0,1.0,0.046917096,23.533415,0.0,255,0,6,4,4,5,0,0,1,1,45
98545086,0,1200.0,0.402909,0.033969358,0.63143045,0.0,0,0,0,0,1,0,0,1,0,1,34
98994676,98991719,800000.0,1.0,0.04685615,23.550697,0.0,255,0,6,4,4,5,0,0,1,1,45
99546742,0,1200.0,0.402909,0.033957247,0.33358002,0.0,0,0,0,0,1,0,0,1,0,1,34
99996411,98991719,800000.0,1.0,0.046952575,23.551212,0.0,255,0,6,4,4,5,0,0,1,1,45
100000235,99999319,800000.0,1.0,0.046952575,23.551212,0.0,255,0,6,4,4,5,0,0,1,1,45
100553586,0,1200.0,0.402909,0.03388381,0.44148612,0.0,0,0,0,0,1,0,0,1,0,1,34
100988311,100986527,800000.0,1.0,0.046999857,23.622929,0.0,255,0,6,4,4,5,0,0,1,1,45
101559324,0,1200.0,0.402909,0.03367657,0.37638518,0.0,0,0,0,0,1,0,0,1,0,1,34
101990041,100986527,800000.0,1.0,0.046884194,23.515915,0.0,255,0,6,4,4,5,0,0,1,1,45
102011422,102010794,800000.0,1.0,0.046884194,23.515915,0.0,255,0,6,4,4,5,0,0,1,1,45
102561110,0,1200.0,0.402909,0.03391254,0.33314082,0.0,0,0,0,0,1,0,0,1,0,1,34
102992990,102991353,800000.0,1.0,0.04694254,23.677017,0.0,255,0,6,4,4,5,0,0,1,1,45
103568461,0,1200.0,0.402909,0.03380259,0.6283305,0.0,0,0,0,0,1,0,0,1,0,1,34
103998837,103993684,800000.0,1.0,0.046926696,23.618107,0.0,255,0,6,4,4,5,0,0,1,1,45
104571277,0,1200.0,0.402909,0.033876147,0.3547032,0.0,0,0,0,0,1,0,0,1,0,1,34
104992413,104992305,800000.0,1.0,0.04694024,23.591967,0.0,255,0,6,4,4,5,0,0,1,1,45
105572332,0,1200.0,0.402909,0.03399789,0.40697473,0.0,0,0,0,0,1,0,0,1,0,1,34
105996830,105996465,800000.0,1.0,0.046945214,23.576485,0.0,255,0,6,4,4,5,0,0,1,1,45
106580974,0,1200.0,0.402909,0.033736482,0.3770548,0.0,0,0,0,0,1,0,0,1,0,1,34
106990573,106989263,800000.0,1.0,0.046956282,23.601027,0.0,255,0,6,4,4,5,0,0,1,1,45
107582064,0,1200.0,0.402909,0.033895127,0.33296978,0.0,0,0,0,0,1,0,0,1,0,1,34
107992323,107992186,800000.0,1.0,0.046859793,23.577456,0.0,255,0,6,4,4,5,0,0,1,1,45
108591599,0,1200.0,0.402909,0.0,0.65405655,0.0,0,0,0,0,1,0,0,1,0,1,34
108993725,107992186,800000.0,1.0,0.04696285,23.604326,0.0,255,0,6,4,4,5,0,0,1,1,45
108997038,108996449,800000.0,1.0,0.04696285,23.604326,0.0,255,0,6,4,4,5,0,0,1,1,45
109601216,0,1200.0,0.402909,0.06739606,0.30328226,0.0,0,0,0,0,1,0,0,1,0,1,34
109985928,109985779,800000.0,1.0,0.046929415,23.539597,0.0,255,0,6,4,4,5,0,0,1,1,45
110609868,0,1200.0,0.402909,0.033711795,0.5215413,0.0,0,0,0,0,1,0,0,1,0,1,34
110992169,109985779,800000.0,1.0,0.04692028,23.582932,0.0,255,0,6,4,4,5,0,0,1,1,45
111008822,111008318,800000.0,1.0,0.04692028,23.582932,0.0,255,0,6,4,4,5,0,0,1,1,45
111617721,0,1200.0,0.402909,0.033752322,0.2590987,0.0,0,0,0,0,1,0,0,1,0,1,34
111989816,111988355,800000.0,1.0,0.04699215,23.571062,0.0,255,0,6,4,4,5,0,0,1,1,45
