timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
138641377,32767,32767,32767,32767,32767,32767,32767
138645368,32767,32767,32767,32767,-56,-52,32767
138649343,32767,32767,32767,32767,32767,32767,32767
138653343,32767,32767,32767,32767,-36,32767,32767
138657350,32767,32767,32767,32767,32767,32767,32767
138661343,32767,32767,32767,32767,32767,32767,32767
138665385,32767,32767,32767,32767,-53,32767,32767
138669382,32767,32767,32767,32767,32767,-76,32767
138673392,32767,32767,32767,32767,32767,32767,32767
138677343,32767,32767,32767,32767,32767,32767,32767
138681343,32767,32767,32767,32767,32767,32767,32767
138685382,32767,32767,32767,32767,-52,32767,32767
138689343,32767,32767,32767,32767,32767,-57,32767
138693436,32767,32767,32767,32767,32767,32767,32767
138697358,32767,32767,32767,32767,-68,32767,32767
138701343,32767,32767,32767,32767,32767,32767,32767
138705391,32767,32767,32767,32767,-47,32767,32767
138709343,32767,32767,32767,32767,32767,32767,32767
138713367,32767,32767,32767,32767,32767,-82,32767
138717343,32767,32767,32767,32767,32767,32767,32767
138721457,32767,32767,32767,32767,32767,32767,32767
138725395,32767,32767,32767,32767,-45,32767,32767
138729343,32767,32767,32767,32767,32767,32767,32767
138733343,32767,32767,32767,32767,32767,-66,32767
138737343,32767,32767,32767,32767,-65,32767,32767
138741343,32767,32767,32767,32767,32767,32767,32767
138745431,32767,32767,32767,32767,-45,32767,32767
138749357,32767,32767,32767,32767,32767,32767,32767
138753343,32767,32767,32767,32767,32767,-52,32767
138757387,32767,32767,32767,32767,32767,32767,32767
138761363,32767,32767,32767,32767,32767,32767,32767
138765382,32767,32767,32767,32767,-41,32767,32767
138769346,32767,32767,32767,32767,32767,32767,32767
138773379,32767,32767,32767,32767,32767,32767,32767
138777386,32767,32767,32767,32767,-60,-76,32767
138781343,32767,32767,32767,32767,32767,32767,32767
138785382,32767,32767,32767,32767,-37,32767,32767
138789343,32767,32767,32767,32767,32767,32767,32767
138793346,32767,32767,32767,32767,32767,32767,32767
138797424,32767,32767,32767,32767,32767,-62,32767
138801345,32767,32767,32767,32767,32767,32767,32767
138805389,32767,32767,-83,32767,-36,32767,32767
138809343,32767,32767,32767,32767,32767,32767,32767
138813343,32767,32767,32767,32767,32767,32767,32767
138817346,32767,32767,32767,32767,-53,-46,32767
138821343,32767,32767,32767,32767,32767,32767,32767
138825393,32767,32767,32767,32767,32767,32767,32767
138829343,32767,32767,32767,32767,-73,32767,32767
138833343,32767,32767,32767,32767,32767,32767,32767
138837343,32767,32767,32767,32767,32767,32767,32767
138841387,32767,32767,32767,32767,32767,-68,32767
138845382,32767,32767,32767,32767,32767,32767,32767
138849392,32767,32767,32767,32767,-68,32767,32767
138853357,32767,32767,32767,32767,32767,32767,32767
138857343,32767,32767,32767,32767,-47,32767,32767
138861385,32767,32767,32767,32767,32767,-52,32767
138865382,32767,32767,32767,32767,32767,32767,32767
138869343,32767,32767,32767,32767,-67,32767,32767
138873345,32767,32767,32767,32767,32767,32767,32767
138877379,32767,32767,32767,32767,32767,32767,32767
138881371,32767,32767,32767,32767,32767,32767,32767
138885382,32767,32767,32767,32767,32767,-77,32767
138889352,32767,32767,32767,32767,-65,32767,32767
138893343,32767,32767,32767,32767,32767,32767,32767
138897343,32767,32767,32767,32767,-45,32767,32767
138901377,32767,32767,32767,32767,32767,32767,32767
138905368,32767,32767,32767,32767,32767,-61,32767
138909343,32767,32767,32767,32767,-64,32767,32767
138913346,32767,32767,32767,32767,32767,32767,32767
138917343,32767,32767,32767,32767,32767,32767,32767
138921343,32767,32767,32767,32767,32767,32767,32767
138925435,32767,32767,32767,32767,32767,32767,32767
138929375,32767,32767,32767,32767,-61,-76,32767
138933343,32767,32767,32767,32767,32767,32767,32767
138937349,32767,32767,32767,32767,-41,32767,32767
138941350,32767,32767,32767,32767,32767,32767,32767
138945346,32767,32767,32767,32767,32767,32767,32767
138949343,32767,32767,32767,32767,-60,-59,32767
138953401,32767,32767,32767,32767,32767,32767,32767
138957365,32767,32767,32767,32767,32767,32767,32767
138961343,32767,32767,32767,32767,32767,32767,32767
138965379,32767,32767,32767,32767,32767,32767,32767
138969343,32767,32767,32767,32767,-56,-46,32767
138973343,32767,32767,32767,32767,32767,32767,32767
138977343,32767,32767,32767,32767,-35,32767,32767
138981391,32767,32767,32767,32767,32767,32767,32767
138985390,32767,32767,32767,32767,32767,32767,32767
138989346,32767,32767,32767,32767,-53,32767,32767
